id;day;month;year;timeofday;timeofdayrecode;incident_type;incident_action;latitude;longitude;territorial_water_status;closest_coastal_state;closest_state_cow_code;location_precision;geolocation_source;location_description;vessel_name;vessel_type;vessel_country;Vessel_country_cow_code;vessel_status;Violence Dummy;Steaming Recode;Incident_type_recode;Incident_action_recode
1;2;1;1993;22:25;3;;;19,7;116,9667;Taiwan;Taiwan;713;1;IMB;Hong Kong - Luzon - Hainan;Mv Cosmic Leader;10;Philippines;840;Unspecified;;-99;-99;-99
2;4;1;1993;1:45;4;;;22,35;116,0000;China;China;710;1;IMB;Hong Kong - Luzon - Hainan;Mv Tricolor Star III;6;Panama;95;Unspecified;;-99;-99;-99
3;6;1;1993;;-99;;;19,67;115,2500;Taiwan;Taiwan;713;5;IMB;Hong Kong - Luzon - Hainan;Mv Arktis Star;6;Denmark;390;Unspecified;;-99;-99;-99
4;6;1;1993;;-99;;;36,6715;0,0000;Algeria;Algeria;615;5;IMB;Yellow Sea;Peiozyornyy;10;Russia;365;Unspecified;;-99;-99;-99
5;8;1;1993;5:00;4;;;29,9;124,5833;China;China;710;1;IMB;East China Sea;Ussurijsk;8;Russia;365;Unspecified;;-99;-99;-99
6;12;1;1993;6:00;4;;;18,1333333;120,2667;Philippines;Philippines;840;1;IMB;Hong Kong - Luzon - Hainan;Mv Chennai Nermai;2;India;750;Unspecified;;-99;-99;-99
7;13;1;1993;4:30;4;;;9,7173;101,8500;Cambodia;Cambodia;811;4;IMB;Gulf of Thailand. South China Sea;Emelyan Yaroslavskiy;-99;Russia;365;Unspecified;;-99;-99;-99
8;25;1;1993;;-99;;;8,5666667;106,8667;Vietnam;Vietnam;816;1;IMB;South China Sea;Mv Indira Ghandhi;10;Russia;365;Unspecified;;-99;-99;-99
9;26;1;1993;16:45;2;;;29;123,5000;China;China;710;1;IMB;East China Sea;Mt Petrobulk Panther;8;Belgium;211;Unspecified;;-99;-99;-99
11;26;1;1993;0:35;4;;;-8,8;13,2500;Angola;Angola;540;2;IMB;Luanda, Angola;Mv Bodrog;6;Hungary;310;Anchored;;2;-99;-99
10;26;1;1993;20:30;3;;;4,4333333;119,4000;Philippines;Philippines;840;1;IMB;South China Sea;Mv Southern King;6;Panama;95;Unspecified;;-99;-99;-99
12;27;1;1993;0:35;4;;;-8,8;13,2500;Angola;Angola;540;4;IMB;Port of Luanda, Angola;;-99;;;Unspecified;;-99;-99;-99
13;4;2;1993;14:00;2;;;25,75;123,1667;China;China;710;1;IMB;East China Sea;Sukhinichi;-99;Russia;365;Unspecified;;-99;-99;-99
14;5;2;1993;2:10;4;;;5,0016667;7,2267;Nigeria;Nigeria;475;2;IMB;Bonny Anchorage, Nigeria;Mv Norgas Navigator;7;Norway;385;Anchored;;2;-99;-99
15;6;2;1993;7:30;1;;;16,5833333;118,1667;Philippines;Philippines;840;1;IMB;Hong Kong - Luzon - Hainan;Mv Hulpha Kluang;4;Malaysia;820;Unspecified;;-99;-99;-99
16;15;2;1993;22:00;3;;;38,6974;121,2995;China;China;710;3;IMB;7.4 miles SE of Waglan. South China Sea;Mv Marine Peace;6;Panama;95;Unspecified;;-99;-99;-99
17;16;2;1993;16:00;2;;;19,3166667;118,7167;Philippines;Philippines;840;1;IMB;Hong Kong - Luzon - Hainan;Mv Lion;6;Denmark;390;Unspecified;;-99;-99;-99
19;16;2;1993;3:30;4;;;-6,775;39,3533;Tanzania;Tanzania;510;2;IMB;Dar-Es-Salam Anchor, Tanzania;Mv Socol 5;6;Panama;95;Unspecified;;-99;-99;-99
21;16;2;1993;4:03;4;;;17,3333333;111,0333;Paracel Islands;Paracel Islands;710;1;IMB;Hong Kong - Luzon - Hainan;Mv Mary Nour;10;Panama;95;Unspecified;;-99;-99;-99
18;16;2;1993;20:20;3;;;15,7833333;111,2000;Paracel Islands;Paracel Islands;710;1;IMB;;Mt Samuel L. Cobb;8;USA;2;Unspecified;;-99;-99;-99
20;16;2;1993;3:30;4;;;-6,775;39,3533;Tanzania;Tanzania;510;4;IMB;Dar-Es-Salam Roads, Tanzania;;-99;;;Unspecified;;-99;-99;-99
22;18;2;1993;;-99;;;19,67;115,2500;Taiwan;Taiwan;713;4;IMB;Western Luzon. Hong Kong - Luzon - Hainan;Mv Aleksandr Tsyurupa;6;Russia;365;Unspecified;;-99;-99;-99
23;25;2;1993;19:45;3;;;8,5166667;104,4000;Vietnam;Vietnam;816;1;IMB;South China Sea;Mv Great Amity;2;Panama;95;Unspecified;;-99;-99;-99
24;25;2;1993;18:50;3;;;36,2;124,4333;South Korea;South Korea;732;1;IMB;East China Sea;Mv Komsomolets;6;Russia;365;Unspecified;;-99;-99;-99
